KO	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
K18472	649	449	262	406	504	435	466	393	150	1067	853	1443	691	585	328	2222	3179	2022	796	210	252	388	1817	981
K18475	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	23	0	0	0	1	0	0	9	1
K18476	2726	3333	1795	2394	1380	1979	2384	2423	1582	4683	3036	3513	3709	3745	2408	10229	7289	4957	4719	3155	2891	3011	8396	4391
K18478	520	146	32	128	56	354	167	171	127	413	123	151	55	30	248	977	345	202	264	407	181	100	302	171
K18479	1031	664	185	582	55	203	560	299	108	455	182	499	179	222	79	1126	1661	826	644	114	115	537	2077	1209
K18480	322	176	84	114	26	80	67	70	33	134	172	89	54	11	30	380	329	135	130	47	45	72	320	107
K18481	1094	284	214	226	503	303	85	178	55	1238	754	1711	2091	1280	1342	1058	3861	2086	1971	118	110	222	327	120
K18532	9	53	98	12	19	56	35	118	147	103	78	23	0	0	0	310	5	35	43	120	165	28	19	7
K18540	49	15	2	6	3	1	10	6	2	2	1	1	1	2	0	2	1	2	4	5	4	4	34	7
K18545	16	52	54	51	18	26	32	34	0	0	0	0	1	1	2	0	0	0	21	54	4	13	82	60
K18546	54	18	9	22	50	12	9	6	9	235	16	8	1	3	1	21	12	42	5	2	4	11	48	8
K18547	5	27	17	11	46	58	6	6	3	0	46	0	3	15	39	2	0	0	3	2	1	85	13	7
K18552	21	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0
K18553	0	0	0	0	0	0	0	0	0	395	2	0	1	2	0	0	0	0	255	0	0	1	0	0
K18554	104	83	52	64	77	100	138	130	43	271	141	159	84	73	32	654	262	193	222	139	169	123	176	71
K18555	509	439	228	332	207	354	406	276	179	576	521	920	151	203	105	1451	2608	1384	874	237	165	333	1146	500
K18575	0	1	0	0	1	4	3	23	1	1	1	0	0	0	0	80	0	36	11	70	0	1	3	2
K18576	42	81	61	46	35	32	24	33	34	177	36	15	150	110	84	79	81	71	478	46	14	87	82	30
K18578	137	362	116	90	189	258	142	259	169	943	531	146	577	73	208	1382	309	293	631	67	88	136	413	155
K18579	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	2	0	0	0
K18581	70	173	139	129	83	180	148	123	163	380	587	1045	106	92	293	1167	429	318	591	291	470	141	219	118
K18586	15	5	3	5	8	38	20	6	2	0	329	1	11	9	60	1	3	1	36	6	4	1	120	5
K18587	175	153	128	92	60	99	63	63	40	121	383	267	52	12	70	451	601	211	135	47	43	80	365	100
K18588	356	256	173	153	58	148	138	148	116	176	308	324	131	88	110	522	602	274	240	147	104	130	539	218
K18594	0	0	0	0	2	0	0	0	219	334	90	24	0	0	0	1139	0	233	0	0	0	2	2	0
K18601	29	160	457	72	129	243	160	250	419	376	310	25	0	0	0	971	3	136	168	322	441	170	91	34
K18602	9	122	196	55	92	115	32	64	238	160	157	31	0	0	0	576	0	111	58	132	145	48	63	50
K18603	9	69	197	22	17	77	97	170	254	310	247	62	0	0	0	830	3	191	92	263	388	108	42	26
K18605	1	38	97	30	22	71	40	75	117	98	98	27	0	0	0	300	3	53	31	105	145	43	32	5
K18622	193	276	247	210	59	243	222	286	121	113	234	228	283	130	336	416	453	214	365	294	212	129	651	274
K18640	0	1	0	0	0	2	0	3	0	0	1969	4	0	2	0	0	0	0	30	7	9	0	50	35
K18649	423	215	113	180	40	138	144	133	68	172	124	107	74	53	169	462	337	188	234	165	111	121	563	193
K18660	7	7	1	3	3	2	4	3	8	340	24	142	0	2	2	548	99	30	9	2	1	8	8	5
K18661	511	242	217	360	124	232	657	624	446	608	316	508	304	103	256	1664	733	793	667	991	1528	517	853	348
K18662	19	49	68	32	199	147	76	130	13	20	13	69	153	94	118	5	5	11	421	70	42	68	93	43
K18667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
K18672	254	426	285	539	258	1089	542	684	775	1669	1456	1116	167	43	233	6833	1542	1182	804	1029	1124	446	687	428
K18676	448	269	65	400	112	536	188	174	339	999	648	476	124	104	294	2671	1127	662	469	121	154	222	992	624
K18678	29	27	14	287	16	35	132	21	14	411	442	154	177	19	138	1119	187	134	66	18	9	19	56	57
K18682	2515	4095	2897	3564	1964	3543	2747	3103	2625	6392	5583	5461	1905	1504	1598	17501	6344	4770	4462	4158	4801	3637	6252	3678
K18687	101	43	24	19	29	37	14	27	17	36	111	181	372	246	225	536	589	478	359	24	33	30	34	15
K18688	530	149	67	89	65	92	54	31	73	307	487	579	555	504	462	2354	2418	1664	696	40	89	109	134	75
K18691	46	243	137	429	109	799	178	186	158	433	115	129	1	6	24	883	260	159	313	512	206	162	347	296
K18697	491	390	199	257	81	175	216	186	124	673	617	945	278	91	111	1233	1762	1111	398	145	155	374	880	510
K18700	356	398	364	307	333	492	325	341	260	648	702	818	201	186	309	1531	1239	817	381	316	357	236	884	430
K18701	25	2	6	1	0	2	2	2	4	18	59	50	0	1	1	115	307	157	1	0	0	0	41	12
K18702	391	223	118	238	75	228	434	360	599	1202	784	1216	470	206	96	5719	2468	1569	1052	527	758	279	539	233
K18703	46	46	60	29	8	43	52	58	12	121	65	80	3	5	2	273	42	71	67	88	25	34	55	58
K18704	0	2	0	1	0	2	0	1	0	128	113	198	0	0	0	1216	100	219	0	0	0	3	2	0
K18707	395	188	116	172	140	150	199	279	210	260	366	442	332	105	247	1901	595	343	578	485	320	297	671	251
K18778	11	17	3	3	6	15	4	3	15	0	4	1	17	8	11	1	3	1	0	1	3	3	20	10
K18779	18	69	255	33	136	243	84	163	341	302	232	53	0	0	0	881	6	162	84	306	407	104	50	38
K18801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	1	0
K18802	457	222	126	272	187	434	200	205	339	363	624	261	91	144	169	1025	579	628	189	126	100	214	631	294
K18814	105	419	249	293	177	1486	217	462	194	1345	1930	2260	529	178	759	5061	1143	676	848	788	432	116	318	222
K18815	12	39	8	30	15	30	55	100	102	96	144	105	0	0	0	951	201	217	214	236	324	51	60	40
K18816	122	17	35	19	5	80	13	4	33	26	31	36	26	8	5	183	160	90	44	3	4	11	21	15
K18817	66	18	7	5	5	13	7	10	2	95	108	118	34	20	4	631	145	75	60	27	42	9	11	10
K18827	126	252	225	443	89	348	294	354	390	751	788	1036	516	25	210	2687	1147	884	387	842	669	355	652	344
K18828	53	28	58	53	26	25	113	44	81	144	164	116	439	41	232	1532	276	212	220	181	176	28	110	55
K18829	20	17	19	12	9	22	57	24	53	21	76	22	81	2	82	488	104	76	124	79	73	27	69	28
K18831	62	113	53	52	15	227	31	52	18	446	749	422	305	98	148	895	540	267	488	159	73	28	103	59
K18833	321	142	24	181	23	63	83	40	65	253	520	669	0	6	5	1378	1707	970	75	16	22	69	562	277
K18841	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0
K18842	4	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	3	6	2	0	13	6
K18843	150	180	206	224	96	434	233	206	107	406	772	630	213	79	506	2713	442	393	609	475	456	124	274	136
K18844	36	34	46	41	64	89	33	27	40	267	206	164	96	95	59	1600	436	266	330	48	54	25	113	63
K18845	0	1	20	0	0	2	2	0	4	428	120	127	0	0	0	1033	111	140	15	2	10	0	0	1
K18846	0	3	6	3	20	67	20	40	28	74	7	0	0	0	0	26	0	3	1	68	38	0	2	0
K18850	14	9	1	11	1	1	7	1	2	5	5	9	0	28	34	22	72	14	3	3	2	6	88	39
K18851	433	131	109	77	277	150	43	34	60	118	198	151	1132	633	749	199	1102	638	425	178	146	67	119	66
K18853	1	9	12	0	1	24	3	8	0	3	4	17	0	4	17	17	1	4	5	22	2	2	3	5
K18855	383	321	365	234	67	249	183	222	407	1093	1173	1015	226	77	169	3573	1121	1038	407	489	609	226	341	200
K18862	44	1	0	1	0	0	0	0	0	3	10	46	0	0	0	2	5	16	0	0	1	0	11	11
K18882	12	134	248	71	94	190	113	179	396	197	159	27	0	0	0	614	0	130	58	194	298	114	97	54
K18889	41	158	22	445	39	263	115	82	35	419	626	53	356	26	327	2183	373	296	113	328	48	41	49	49
K18890	37	195	50	507	46	334	69	130	75	549	897	300	364	42	332	3728	725	455	375	561	323	89	103	74
K18893	471	108	23	148	31	120	152	87	59	81	73	81	17	15	5	186	244	144	131	44	57	80	591	182
K18896	30	9	6	13	10	12	10	7	15	138	64	192	4	8	34	485	130	48	51	11	27	5	38	11
K18897	143	353	236	237	95	208	183	202	114	295	323	305	110	57	42	1247	290	301	238	304	327	129	705	304
K18900	210	19	2	34	7	16	26	7	14	39	13	11	53	52	67	101	132	67	30	1	17	32	81	25
K18901	5	9	3	6	1	0	5	7	0	0	0	0	11	15	3	0	1	0	5	44	2	1	107	6
K18903	0	10	20	0	11	2	1	0	0	0	0	0	227	15	130	0	0	0	0	1	0	0	2	1
K18904	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	92	0
K18905	175	23	7	42	7	10	42	23	16	34	48	29	0	2	0	44	96	49	35	54	62	23	102	52
K18910	598	448	277	470	134	334	466	409	583	1229	1156	983	35	35	28	3979	1734	1501	749	513	605	384	1221	587
K18911	770	1231	898	980	653	1275	1055	949	670	1735	2063	2575	1316	1266	1141	3809	2006	1258	2074	1215	1255	1031	2133	1154
K18912	678	1271	825	676	643	1108	1074	1169	727	1370	2303	3019	891	627	817	4381	1580	1067	2524	1345	1725	1146	1904	1021
K18913	141	137	72	137	25	74	135	74	121	115	200	406	308	215	169	506	899	549	214	58	37	76	679	240
K18914	6	116	26	41	21	40	11	16	14	7	31	0	239	559	323	82	2	3	5	8	8	34	72	119
K18916	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0
K18917	680	556	284	455	208	500	390	376	179	702	662	1191	275	228	126	1410	2190	1270	672	402	197	391	1535	822
K18918	0	3	6	0	0	1	0	2	1	6	5	9	0	0	0	135	27	10	1	0	0	0	4	3
K18923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	8	0	0	0	0	5	0
K18926	738	289	72	337	120	145	231	152	46	258	219	406	93	46	18	348	1366	752	507	53	86	181	1631	757
K18928	1684	1720	974	1481	664	1313	1567	1296	1276	1776	1543	2350	675	697	475	6084	4169	2644	1998	1501	1799	1522	4209	2053
K18929	2477	2279	1277	1858	759	1502	2096	1889	1580	3373	2440	3490	709	862	761	11793	6036	3965	3037	2346	3020	2000	5512	2797
K18930	339	398	141	412	137	445	238	135	134	191	857	783	395	708	120	569	1210	744	146	38	41	210	1268	786
K18933	27	38	14	17	15	30	29	45	45	118	36	50	31	45	102	500	162	97	297	114	130	51	97	41
K18939	21	28	46	30	42	63	27	83	35	117	118	98	382	251	395	529	124	113	797	138	173	74	113	40
K18954	296	337	187	328	113	237	412	405	246	531	469	880	6	40	5	1750	1086	700	978	339	517	446	782	310
K18955	3040	2840	1655	2359	1215	1911	1912	1679	1116	3265	4365	7391	1977	1565	897	7094	9676	5796	3155	1660	1409	1922	6931	3430
K18956	0	0	0	0	0	0	0	0	0	0	0	0	15	13	24	0	0	0	13	1	0	0	0	0
K18957	0	0	0	0	0	0	0	0	0	0	0	0	68	17	13	0	0	0	13	0	0	0	0	0
K18958	601	546	280	460	261	373	376	282	211	783	696	1091	428	481	250	998	1701	993	714	243	245	335	1235	699
K18960	42	37	28	33	4	60	79	54	17	40	90	207	3	0	0	232	583	288	58	25	29	14	92	20
K18962	0	0	0	0	0	0	0	0	0	0	210	1	0	0	0	0	0	0	1	1	0	0	0	0
K18967	1	0	2	0	0	2	1	0	0	1	1	3	0	0	0	58	15	6	2	0	0	2	0	0
K18968	0	0	0	0	0	0	0	0	0	0	0	0	51	15	1	0	0	0	0	0	0	0	0	0
