KO	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
K00003	3369	3208	2153	2509	1665	2604	2203	2127	1396	3928	4916	6252	2452	2070	1761	8301	7921	4924	3572	1915	1652	2215	6878	3390
K00004	141	163	136	134	35	92	277	205	70	126	108	304	1	1	5	1157	447	307	503	179	169	131	404	157
K00005	18	31	12	18	10	26	39	38	46	179	104	120	0	2	2	1267	378	257	54	64	65	38	56	15
K00008	512	421	192	360	173	172	303	232	124	564	145	262	85	58	23	1039	811	410	600	177	170	463	1261	789
K00009	118	68	17	76	14	32	151	94	127	435	281	447	73	27	6	1616	534	620	107	316	413	129	431	204
K00010	1760	2023	823	1945	400	804	1863	1345	904	2217	1467	2126	425	424	332	8304	4394	2847	1887	1232	1454	1896	6228	3592
K00012	3807	3629	2159	3065	1819	3540	2413	2508	1999	6330	6023	7391	2728	1997	1764	17072	10871	6952	4798	2974	2760	2854	7508	3877
K00013	1335	879	354	729	390	573	877	728	763	2365	2627	3258	677	376	383	7738	4432	3123	1827	795	939	740	1986	1145
K00014	1431	1269	756	997	512	1085	1088	970	797	2622	2576	3395	1054	854	697	8622	5059	3421	2233	1185	1319	970	3430	1635
K00015	465	277	133	316	181	363	370	442	327	721	970	636	113	449	236	3704	914	927	608	585	903	272	751	365
K00016	144	38	47	29	26	129	41	73	68	57	403	169	48	41	16	1439	1367	747	82	235	122	84	78	48
K00018	36	108	52	62	26	285	66	124	73	33	52	53	28	50	84	266	72	75	70	218	85	58	195	90
K00019	1071	768	465	605	192	433	710	595	546	1288	879	1158	347	317	280	3456	2728	1595	844	714	879	635	1682	790
K00020	1142	1087	555	1183	566	955	1195	1269	943	2184	1893	2789	1056	991	1185	7512	2494	1972	2238	1881	2294	1106	2795	1153
K00021	983	907	891	775	406	932	672	530	354	574	898	976	710	269	438	2735	3271	1906	1067	559	467	593	1193	613
K00023	752	560	346	517	182	465	451	470	308	385	471	477	301	218	266	895	883	493	496	444	445	373	1399	734
K00024	2307	2346	1662	2166	1275	2188	1833	1656	1646	3129	3610	3624	1595	1396	1375	10482	6273	4143	3303	2203	2375	1785	4616	2369
K00027	2006	2130	1208	2278	858	1698	1837	1670	1505	5051	2802	4229	1464	1233	793	10296	7932	5372	3143	1428	1594	1912	5118	2849
K00029	1242	857	483	746	456	685	972	819	506	923	788	859	628	633	682	3231	2586	1500	913	1193	1042	630	2150	1061
K00030	276	541	390	568	214	741	654	936	618	1704	1532	1114	287	90	367	7157	1197	1030	579	1123	1357	705	815	449
K00031	5346	4979	3033	4297	2430	4201	3052	2926	2469	5006	6370	6758	3082	2628	2765	10338	8598	5460	4578	2857	2153	2729	9140	4589
K00033	5858	6799	4683	5719	3312	6791	4620	5035	3482	6689	7828	8868	5098	4325	3630	18577	13540	8814	7397	6202	6072	5009	13687	6985
K00034	255	580	600	373	192	462	462	663	257	430	442	195	167	140	81	1828	470	335	917	840	780	491	778	460
K00035	319	132	125	111	40	82	91	58	48	108	373	361	105	36	69	322	479	285	172	43	39	85	436	178
K00036	5911	7054	4066	5944	3099	5509	4963	5078	2666	6854	8982	12608	5633	5501	3676	23443	16250	9937	8424	5601	5314	5178	14904	7927
K00038	437	326	401	233	122	339	260	280	132	267	142	390	369	490	392	842	1055	598	588	294	198	180	972	387
K00039	135	38	13	44	7	22	41	50	33	69	110	126	8	23	30	110	131	71	39	25	24	21	203	90
K00040	327	60	41	134	66	55	79	44	39	133	153	368	5	7	7	266	190	80	165	26	21	40	281	121
K00041	12	5	2	3	2	8	5	7	11	14	30	147	1	2	0	71	198	37	56	5	5	6	13	10
K00042	637	447	251	382	97	212	504	568	447	1508	832	986	236	123	136	4687	1500	1239	966	668	899	446	1368	632
K00043	86	12	3	34	8	16	40	30	18	19	24	53	1	0	0	176	78	51	69	39	24	22	102	49
K00045	1577	1424	588	809	282	484	928	852	195	449	616	1311	1024	684	329	3104	3853	1779	1878	423	279	955	3821	1982
K00046	412	204	71	239	52	131	174	177	51	91	145	76	69	58	38	237	456	249	303	138	87	167	855	543
K00049	1	1	3	3	3	5	4	5	4	184	112	112	0	0	2	563	40	50	4	5	4	1	2	3
K00050	66	26	6	36	7	22	18	10	3	6	26	0	0	1	0	0	1	0	23	15	9	18	51	57
K00052	1679	1746	910	1644	843	1375	1289	1344	1107	3022	2686	2781	1164	1100	1141	8764	5099	3528	2913	1362	1393	1368	3710	1824
K00053	6541	6226	4021	5111	3065	5344	4220	4030	3682	6610	8229	9365	3864	3568	3183	14806	12407	7898	6537	4098	4128	4298	11511	5991
K00054	77	232	435	176	161	273	198	276	431	325	251	115	8	12	30	1589	387	310	171	321	487	169	364	154
K00055	302	155	84	120	28	50	250	202	100	101	120	174	31	18	8	604	765	356	62	137	149	158	492	156
K00057	2498	2180	1106	1955	883	1654	1312	1304	690	3328	3849	5558	2050	1884	1244	9735	8161	4783	2988	1483	1126	1472	5323	2660
K00058	4745	4319	2661	3634	1879	3785	3508	3378	2600	8336	7429	9963	2433	1862	1927	24314	15134	9659	6297	4199	4142	3220	8891	4466
K00059	7221	6744	4226	6585	2375	5624	7253	7153	5731	11766	10099	13852	3863	2708	3170	42549	22001	15123	11420	8740	10880	6586	16667	8483
K00060	444	401	292	588	264	308	432	279	287	1432	598	709	260	163	144	2867	1433	887	550	280	255	245	852	365
K00064	608	556	378	576	162	358	712	565	332	1017	624	744	297	164	183	2657	1394	791	1199	499	631	569	1871	918
K00065	264	238	88	224	78	481	344	289	369	522	522	806	45	82	214	2452	916	777	467	332	485	209	617	272
K00066	121	51	38	53	101	210	53	101	37	280	262	53	76	100	135	1193	551	256	249	270	91	47	219	123
K00067	2370	2008	1189	1973	1062	2770	1538	1750	1157	2712	6257	4835	1182	895	1515	14220	7249	4095	3141	2935	2755	1623	4379	2198
K00073	69	49	22	21	9	9	41	43	6	13	27	81	0	0	0	103	27	17	42	103	47	28	116	25
K00074	1876	1704	1011	1686	917	1854	1375	1540	980	3455	2798	5194	876	991	937	9288	6666	3874	2735	1999	1556	1333	3279	1815
K00075	2979	2698	1594	2273	1232	2542	1897	2064	1530	4439	4750	5819	1667	1384	1447	12627	9238	5281	3532	2220	2353	2153	6220	2956
K00076	75	50	19	17	14	15	9	14	8	47	77	141	213	240	167	143	522	271	203	5	10	30	47	21
K00077	2646	2643	1976	2137	1143	2299	2241	2317	1535	4314	2775	2339	2396	1763	2628	8874	4208	2947	4774	3229	2981	2138	4973	2662
K00078	743	793	298	529	127	292	480	411	261	622	854	1540	245	171	113	2850	3120	1636	634	255	155	520	2481	1186
K00082	290	390	209	376	285	258	241	218	84	612	319	242	258	319	196	170	307	154	934	125	66	326	913	589
K00088	6031	4470	2965	3935	2159	4197	3440	3105	2489	5956	5245	7342	3313	2453	2530	15787	16143	9909	5642	3290	2723	3408	11216	5917
K00091	481	369	386	374	354	787	734	550	322	1075	1353	902	940	1069	1082	4599	1903	1226	1210	819	747	363	863	406
K00096	726	924	763	688	327	703	704	954	1037	1159	1259	1648	275	291	257	4362	1561	1147	802	1021	1134	884	1467	816
K00097	221	97	72	63	15	39	36	59	20	59	373	169	60	32	17	369	411	163	172	81	74	37	332	71
K00098	421	112	50	113	30	131	141	65	35	56	72	113	29	39	9	124	257	163	82	38	38	89	405	279
K00099	3698	3729	2235	3256	1953	3679	2438	2567	1887	5606	5828	7084	2253	2051	1990	14961	9679	6122	4379	3111	3001	2811	7265	3761
K00101	476	400	204	217	37	164	342	349	105	334	180	333	275	162	158	785	1173	874	502	199	179	342	961	500
K00102	467	211	216	281	77	145	440	531	397	868	549	432	116	101	123	3017	694	715	792	409	451	256	507	228
K00104	2348	2527	1304	1842	1041	1720	1937	2085	1250	4238	2819	3940	778	831	797	12634	6264	4117	4131	2267	1978	2071	5398	2853
K00108	4030	2907	1246	2573	967	1415	2098	1754	756	4324	2811	3503	1573	2025	1478	5931	8993	4566	3767	1746	1087	1687	6535	3451
K00109	96	86	36	55	15	43	58	62	24	32	31	112	12	10	33	373	262	145	57	94	54	39	128	64
K00111	6731	5598	3577	4868	2764	5294	4317	4295	3249	8081	8044	11868	4668	4133	3730	26030	20293	12212	8278	5030	4782	4573	12688	6202
K00112	54	205	168	129	77	121	128	187	146	219	59	142	70	81	76	188	60	51	279	387	297	204	252	126
K00113	362	957	625	690	420	628	1251	1588	946	1552	1144	1305	718	171	255	10550	2081	1510	2206	1929	2421	1400	1629	921
K00114	226	231	255	256	134	149	412	441	219	873	437	1242	86	28	41	2900	850	618	984	484	487	251	516	155
K00116	1249	728	378	701	169	423	722	410	383	738	915	1859	600	324	249	2611	3925	1989	594	255	231	443	3195	1121
K00117	26	5	4	7	2	3	5	21	1	2	1	0	0	2	0	204	6	38	1	3	4	4	104	22
K00118	111	44	23	58	9	25	49	49	11	28	31	35	9	8	138	672	340	140	106	28	14	30	268	75
K00119	90	92	66	138	118	73	100	67	24	116	11	36	377	352	163	236	384	194	825	41	66	115	299	90
K00120	4	3	3	2	0	3	1	0	0	0	0	0	146	63	10	2	0	1	176	2	22	7	6	1
K00121	296	206	74	155	77	139	186	179	120	234	432	210	127	121	173	498	474	298	235	254	227	79	593	208
K00122	62	148	93	138	29	101	166	305	100	80	143	54	222	244	216	82	9	34	205	222	324	291	289	146
K00123	467	215	252	193	86	216	224	290	96	1057	225	94	302	232	1157	895	238	139	582	354	274	162	620	228
K00124	4134	5304	3960	4341	2457	4330	3467	4019	2266	4364	3953	6202	2506	2100	1974	11427	8710	5813	6367	4072	4085	4058	9344	5111
K00126	39	10	15	30	12	11	22	5	6	15	29	20	21	13	26	43	63	19	9	6	2	8	91	41
K00127	253	368	270	186	115	457	192	197	169	294	532	906	119	89	308	1457	228	312	546	281	272	150	602	261
K00128	435	510	201	1019	172	266	255	182	186	2648	1127	1387	89	217	199	4734	1458	1407	845	233	350	327	897	497
K00130	770	532	170	568	63	176	409	356	172	1327	392	430	142	82	25	2610	1367	929	347	129	116	320	1329	685
K00131	32	80	49	25	1	30	50	82	13	0	0	2	1	0	0	2	6	3	112	85	56	21	68	46
K00132	5	109	7	25	30	419	14	23	27	12	94	0	1	1	315	569	24	45	18	437	25	23	51	32
K00133	3962	3718	2546	3289	1934	3573	2577	2698	2100	5528	5971	7254	2764	2277	2212	14781	9912	6102	4419	2882	3028	2714	7888	3960
K00134	5089	5117	3100	4439	2233	4572	3575	3543	3167	6518	7468	8282	3034	2587	2352	16160	10906	7477	5168	4551	4468	3773	9738	5026
K00135	2951	2428	1003	2682	864	1364	1880	1589	1007	5497	3646	6564	1717	1275	1403	12346	7760	5046	3544	1944	2452	1715	6645	3802
K00137	194	160	126	105	123	97	235	238	165	464	638	492	103	13	272	1598	438	478	334	124	121	204	385	170
K00138	329	140	108	121	204	186	73	70	37	109	313	236	339	245	265	587	464	305	49	20	31	35	567	258
K00140	2296	2329	1340	2533	951	1844	1930	1743	1244	3928	3335	3678	1598	1821	953	10444	5989	4066	3061	2113	2519	2028	6013	3103
K00141	216	282	105	121	27	51	89	95	75	146	84	81	161	124	91	689	876	773	438	36	10	240	515	311
K00145	3252	2798	1653	2492	1340	2910	2196	2296	1823	4362	4927	6259	1936	1665	1580	11556	8492	5507	3902	2506	2465	2276	6847	3320
K00146	6	15	13	12	110	23	6	17	23	34	114	313	91	29	527	76	104	7	340	321	124	19	21	14
K00147	1255	929	293	812	164	555	561	536	232	1447	2469	3588	626	690	385	3592	4157	2321	1247	347	397	561	2160	1251
K00148	899	963	525	919	267	511	1277	1048	780	1631	990	2014	1160	757	510	4051	3325	1842	1538	987	1226	936	2867	1286
K00150	11	134	168	47	39	77	54	119	146	173	133	43	1	0	0	888	203	250	88	218	267	83	85	42
K00151	206	27	61	28	17	20	9	2	7	14	14	43	2	5	3	15	119	99	247	3	5	7	91	35
K00153	1705	1468	662	1295	515	812	1052	827	530	1681	1872	4098	911	650	385	4027	5677	3242	2073	752	639	1105	4218	2146
K00154	252	26	6	41	8	18	38	10	13	6	16	46	50	11	19	26	149	60	22	7	7	16	193	55
K00156	1646	1817	1247	1628	1239	1126	1719	1751	825	2476	894	848	1748	815	1310	4309	1916	1417	5756	1910	2334	1655	3739	2207
K00158	80	125	107	39	32	27	65	112	0	0	0	1	0	0	3	0	0	0	555	47	17	259	250	200
K00161	2932	2585	1655	2588	1325	2575	2012	2090	1534	5088	4048	4391	1510	1398	1517	13613	7616	5013	3915	2495	2660	1920	5644	3074
K00162	2193	1662	1029	1667	1081	1848	1375	1390	1186	2968	2653	3264	1204	1243	961	9525	5713	4208	3191	1717	1685	1384	3976	2209
K00163	16104	15155	9641	12234	6340	11693	10607	10346	7118	15402	18926	28334	8836	7643	6410	34289	36811	21860	16409	9321	8117	10068	31377	15861
K00164	2204	1789	889	1935	558	1350	1218	1296	668	5971	4889	7765	1419	1601	1830	16075	6927	5188	3674	1384	816	1634	3376	2138
K00166	434	219	76	116	75	153	78	87	68	163	394	261	45	37	32	499	527	288	180	43	31	77	594	154
K00167	246	114	62	66	48	61	68	145	43	67	224	71	96	51	59	657	338	169	92	37	22	41	376	80
K00169	2	7	6	15	59	61	22	14	121	162	44	63	2	26	3	210	100	220	9	74	108	32	22	10
K00170	5	12	10	35	14	76	40	25	212	170	162	134	7	99	21	298	146	257	6	56	126	50	26	12
K00172	1	0	0	0	0	0	0	0	0	7	20	9	0	0	0	45	100	48	0	0	0	0	0	0
K00174	4240	4607	3256	4175	2028	4439	3247	3433	2676	5718	6540	8225	2867	2058	2266	15646	10657	7116	5461	4496	4149	3336	9519	4773
K00175	3135	3468	2584	2888	1622	3545	2210	2426	1984	4072	4429	4963	2219	1736	1753	10066	6303	4503	3687	3374	2983	2414	6204	3405
K00176	0	0	0	0	1	1	0	0	1	3	0	0	5	1	0	2	0	13	25	0	1	0	1	2
K00177	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	47	1	6	0	0	0	0	0	0
K00179	158	34	75	73	101	50	23	22	22	45	57	87	10	13	15	193	137	68	130	5	11	22	241	165
K00180	65	41	14	25	109	44	36	26	66	22	35	36	101	46	114	142	74	32	123	19	14	18	106	56
K00196	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	15	0	4	0	0	0	0	0	0
K00200	142	521	399	246	136	301	381	512	174	228	187	161	136	123	106	505	81	168	485	303	307	377	610	252
K00201	18	63	91	39	17	36	77	125	40	67	22	29	49	18	14	180	7	42	157	135	61	70	149	49
K00202	14	66	26	19	5	19	52	85	20	41	42	35	38	20	34	174	27	32	91	65	53	46	214	45
K00206	86	17	2	28	10	26	12	9	9	16	10	4	23	4	2	1	0	2	16	54	22	22	39	30
K00207	1	2	1	2	4	6	0	2	0	3	5	57	4	1	1	0	0	0	1	3	1	1	2	3
K00208	1534	1006	618	974	538	1281	845	965	717	1365	1620	1257	716	425	918	4653	2253	1258	1227	1258	1138	735	2171	1026
K00209	10	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K00214	0	0	0	3	0	0	1	1	4	0	336	0	0	0	0	0	0	0	13	1	14	0	28	0
K00215	2220	1975	1218	1847	1079	2049	1632	1614	1349	3017	3249	4218	1385	1198	1177	8102	5823	3600	2735	2077	2179	1690	4745	2253
K00216	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	16	12	29	12	0
K00217	534	656	350	522	194	320	632	530	412	532	864	1865	200	182	201	3666	815	843	804	741	964	596	1376	745
K00218	0	0	0	0	0	0	0	0	0	0	296	1	0	0	0	0	0	0	0	0	0	0	0	1
K00219	306	67	26	32	29	30	26	14	17	246	153	201	94	123	141	171	909	734	15	5	8	8	50	32
K00220	405	200	158	213	69	189	217	140	127	170	202	196	125	90	170	511	362	183	265	133	121	121	565	216
K00221	1	8	22	13	5	22	72	76	97	331	138	140	15	4	13	526	233	228	223	421	675	57	37	13
K00223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	2	0	0	0	0
K00226	27	54	7	51	5	20	44	18	1	124	14	33	1	0	1	1089	387	368	2	4	30	24	111	100
K00227	80	16	16	8	4	10	4	16	3	7	216	4	9	7	3	105	187	47	12	10	3	5	75	5
K00228	771	539	388	299	215	484	330	278	317	557	1097	586	518	259	512	1493	1231	671	575	305	228	258	1049	468
K00230	179	97	74	82	42	109	72	87	47	381	267	363	51	212	13	3116	1299	861	84	140	130	99	288	108
K00231	1584	1387	691	955	573	1516	1020	1073	465	2564	2601	3763	1455	880	872	7688	6026	3740	2513	1065	745	870	3366	1811
K00232	3193	1478	868	1391	793	1158	984	612	751	3063	2579	4684	1488	1235	803	3726	8647	5436	1953	453	356	850	3602	1321
K00234	17	16	12	8	6	13	30	62	23	26	18	8	4	4	2	87	32	48	119	161	97	17	28	20
K00235	3	0	0	0	4	1	0	0	2	13	6	0	1	2	2	2	1	1	0	0	0	0	2	1
K00239	1479	1842	958	1672	752	1578	1402	1415	1007	4988	3776	5198	1831	1104	1261	13955	5815	4107	3054	1316	1305	1659	3082	1608
K00240	6775	7277	4893	6147	3187	6326	4662	4743	4005	7794	8463	10194	3816	3274	3362	18186	13086	8993	7351	5662	5510	5114	12661	6960
K00241	2070	1435	845	1442	487	1374	1083	1033	860	2107	2337	3422	706	375	478	5705	6076	3392	1331	971	773	914	3813	1825
K00242	873	609	325	511	103	335	368	364	228	1199	1363	2147	308	171	224	3709	2730	1536	588	327	329	439	1270	684
K00243	11	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	16	4	0	0	0	0	0	0
K00244	147	271	53	174	9	49	320	194	133	223	37	37	0	0	2	374	233	264	79	82	212	361	553	386
K00245	110	198	127	146	34	99	153	135	84	109	163	81	1	1	6	69	28	33	77	71	74	185	395	269
K00247	62	61	31	65	12	49	45	36	24	62	55	29	0	1	1	84	7	13	16	40	48	79	147	117
K00248	155	144	190	353	100	503	248	197	154	589	212	270	297	64	333	1915	489	327	316	365	65	81	149	154
K00249	16035	15092	9937	13775	8342	14139	10814	11250	8543	24657	24645	33393	15213	14256	11443	60852	51548	33115	23138	12986	12405	11747	27926	14365
K00252	2954	2307	1377	2348	745	1623	2797	2373	2007	3999	3292	4911	2543	2133	1391	14844	7815	5517	3599	2932	3701	2481	5831	2763
K00253	713	496	356	382	151	335	361	308	251	384	598	472	271	162	286	1072	838	514	515	338	286	274	1076	474
K00254	1400	1005	511	918	490	1123	661	697	283	1655	1558	1635	895	537	806	4777	3787	2320	1332	639	353	696	2735	1416
K00257	4	0	1	1	1	0	0	0	2	6	244	2	17	23	59	51	0	2	0	3	5	1	5	0
K00259	3775	4010	2338	3588	1937	3814	3147	2906	2397	4626	5870	7464	2466	2057	1742	14300	10534	6499	4745	3607	3685	3193	8227	4308
K00261	131	346	389	204	303	933	230	586	619	2151	1363	1397	488	67	411	7505	1961	1533	577	741	747	309	270	216
K00262	1409	326	221	346	102	277	615	532	460	2278	1191	3058	13	25	55	4849	7221	4309	468	520	742	453	1328	428
K00263	97	202	146	151	70	124	275	296	350	863	1520	2185	176	18	111	4391	777	790	363	405	635	236	223	105
K00265	1115	516	281	403	662	471	691	686	290	3980	1762	921	1093	354	1184	7439	2840	2778	3461	791	812	512	555	278
K00266	2067	1441	781	1122	552	871	1170	1082	580	2341	1870	2437	1038	621	526	6275	4753	3154	2967	1068	1408	1116	3237	1647
K00271	753	820	345	543	250	397	509	358	136	1360	667	1503	225	243	124	1748	3196	1762	921	215	133	540	1850	1024
K00273	893	1082	431	617	159	613	605	573	433	1215	1028	1452	384	443	397	3597	3137	1771	1106	738	753	688	1921	1085
K00274	511	404	350	454	235	604	379	353	348	555	1128	804	840	838	320	5021	1620	1456	1256	622	635	277	579	326
K00275	2204	1932	991	1657	839	1445	1383	1250	951	2839	3142	3391	1238	984	958	9442	6328	3734	2515	1484	1836	1456	4462	2070
K00276	762	819	658	1046	300	747	1344	1026	483	893	260	727	333	565	361	1188	1630	1094	1696	495	340	687	2808	1020
K00278	784	672	314	947	422	829	599	685	266	2522	2361	3449	981	835	812	5296	4720	2605	1188	545	272	627	2008	1004
K00279	9	95	76	39	57	160	130	107	74	28	135	54	502	29	289	195	337	162	21	68	20	82	108	46
K00281	2904	2160	1013	1926	1081	1461	1814	1226	625	4026	3796	5294	1993	1087	1344	10074	10586	6918	3569	972	671	1585	6785	3288
K00282	635	823	450	1049	494	1303	794	1037	906	2642	2562	2996	683	823	827	9092	2126	1751	1496	1734	2088	876	1399	677
K00283	688	969	716	1231	616	1382	834	1105	1004	2839	3088	3407	790	901	810	8960	2053	1724	1821	1690	2397	1036	1570	842
K00284	0	0	0	0	0	0	0	0	0	0	1023	4	0	0	0	0	0	0	0	3	4	0	0	0
K00285	1542	651	284	623	188	462	590	482	361	685	637	981	170	90	122	3460	3623	2074	810	620	448	432	2528	1341
K00286	2545	2394	1340	1822	1050	2111	1572	1738	1219	3932	4072	4838	1422	1281	1283	10677	7375	4660	2918	1788	1990	1822	5217	2689
K00287	1096	696	274	640	138	547	493	333	249	831	730	1069	409	224	361	1564	2721	1437	503	310	240	363	2045	875
K00290	444	201	61	188	158	156	117	50	18	66	207	477	108	89	92	762	1814	1135	83	20	29	98	636	392
K00294	2083	2070	1217	1920	966	1529	1657	1295	904	2755	2192	3369	1129	549	721	6583	6736	4061	2399	1324	1183	1462	6246	3074
K00297	2879	3152	1779	2580	1298	2261	2261	2011	1391	3417	4219	5179	1713	1809	1537	6696	6904	4181	3400	1782	1617	2337	6635	3298
K00298	4	19	4	33	6	12	21	95	1	7	74	112	1	7	4	113	4	3	93	5	0	23	88	52
K00299	1505	930	343	703	278	428	605	498	277	1259	892	1823	591	682	427	2933	3878	2305	1212	390	381	644	2526	1283
K00300	7	8	4	4	0	5	4	5	5	3	0	1	30	14	6	64	1	36	0	1	1	6	71	8
K00301	379	304	192	366	84	255	358	499	791	1470	1033	1659	227	159	151	8050	2398	1664	847	740	1050	491	1116	525
K00302	216	170	36	147	27	81	139	152	30	958	17	15	9	5	7	9	10	6	369	227	145	146	516	285
K00303	1789	1584	815	1744	608	1331	1366	959	1265	2616	1757	2229	888	1265	475	8995	4925	3402	2193	1408	1678	1204	3834	2088
K00304	344	249	134	286	59	174	259	196	154	299	278	447	10	10	21	490	759	427	316	156	128	182	786	413
K00305	507	377	173	271	36	101	257	176	87	392	190	511	0	5	29	642	1203	585	390	104	166	167	918	433
K00309	441	400	157	366	90	310	536	368	456	1287	351	769	7	35	151	3580	929	1142	1049	709	1223	343	1391	685
K00311	2436	2354	1756	2276	1288	2827	1479	1854	1348	2428	2703	2264	1809	1600	1999	5596	2731	1765	2783	2236	1673	1611	3946	2015
K00313	31	131	407	53	160	256	38	168	479	586	321	98	1	7	30	1974	362	405	246	236	397	147	128	46
K00314	290	62	11	84	28	64	66	30	32	30	35	12	1	1	6	122	15	9	59	18	22	41	179	117
K00315	178	33	7	67	19	44	70	15	30	153	145	78	5	4	4	132	61	41	59	16	21	24	197	95
K00316	12	1	1	0	0	2	4	0	1	16	5	0	0	2	32	261	152	72	2	0	0	1	2	0
K00317	1	9	6	1	4	15	13	9	22	223	258	66	0	2	5	118	47	32	86	142	109	16	4	4
K00318	666	617	202	734	180	755	296	253	187	936	809	1475	185	164	182	2501	3022	1721	768	438	419	424	1351	881
K00320	1510	1561	1058	1290	874	1438	1290	1228	1363	5169	2954	3218	1966	1810	1362	12607	5756	4022	3675	1984	2502	1647	2807	1460
K00322	151	402	347	568	410	457	235	194	170	345	491	327	727	676	642	919	310	290	699	179	153	253	671	418
K00324	2055	1670	998	1385	893	1558	1304	1269	797	3218	2853	3106	1304	1321	1058	9852	5445	3590	2590	1414	1392	1294	4294	2131
K00325	1134	1136	682	781	316	688	696	886	394	1735	1714	1243	1354	1097	1115	4947	2894	1680	1956	773	504	736	2225	1084
K00330	1950	2279	1527	1928	996	2362	1531	1718	1334	3329	3541	4460	1136	861	986	7717	5081	3252	2555	2100	1661	1618	3950	2210
K00331	3443	3700	2281	3182	1709	3468	2449	2833	2412	4618	4712	6056	1935	1436	1679	11268	7712	5100	3897	3353	3150	2734	6438	3654
K00332	1949	1735	991	1696	810	1754	1248	1279	866	1862	1894	2830	1099	767	773	4677	5694	3101	2095	1497	981	1239	4308	2227
K00333	1614	1479	896	1427	840	1481	1157	1323	694	3530	3412	4986	1037	1167	1023	10027	4896	3378	3010	1972	1471	1282	3269	1613
K00334	2941	2694	1545	2233	1132	2278	1670	1546	1133	2844	3241	4624	1627	1320	1272	6609	6787	3797	2860	1603	1299	1631	5259	2692
K00335	1478	1258	911	1441	891	1309	1040	1016	545	2682	1989	2187	1541	914	1073	6255	4695	3187	3067	1100	837	1000	2561	1537
K00336	928	902	430	617	542	482	660	709	110	2463	1576	3895	399	295	108	2410	2794	2177	2169	392	261	647	1722	1224
K00337	2892	2890	1578	2784	1182	2768	2082	2148	1404	5496	5540	8220	1610	1567	1468	13534	8945	5561	3824	2702	2637	2329	5586	2873
K00338	3814	4179	2681	3477	2009	4013	2625	3066	2338	4865	5451	6671	2271	2020	2008	10629	7297	5009	4026	3476	3161	2963	7063	3997
K00339	2432	2301	1464	2096	994	2163	1523	1675	1212	3722	3832	5135	1443	1130	1227	9191	7274	4338	2796	1916	1625	1579	4834	2666
K00340	1996	2166	1348	1705	1029	2089	1339	1504	1491	2933	3098	3610	1141	1036	1122	6775	4326	2883	2091	1765	1693	1494	3675	2060
K00341	2471	2847	1866	2967	1211	2582	2234	2374	1770	8053	8277	11422	2149	1538	1728	20784	10155	7162	4437	3194	3071	2249	4478	2599
K00342	1518	1334	605	1890	762	1361	1115	980	620	4724	4467	6845	868	596	708	10829	5673	4056	2503	1576	957	932	2686	1307
K00343	3854	3576	2013	3424	1677	3676	2500	2673	1962	9488	7818	11996	2366	2076	1772	23192	13691	9127	4622	3265	3449	2901	7355	4006
K00344	5459	4783	2696	4380	1927	3913	4416	4284	3247	7834	6039	8755	3717	2162	3046	26520	17303	10776	8292	5154	5384	4097	11318	5565
K00346	0	0	0	0	0	0	0	0	0	22	1	26	0	0	0	87	0	12	0	0	0	0	0	0
K00347	0	0	0	0	0	1	0	0	0	3	1	6	0	0	0	124	5	21	0	0	0	0	0	0
K00348	0	0	0	0	0	0	0	0	0	1	0	20	0	0	0	50	2	14	0	0	0	0	0	0
K00349	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0	10	0	0	0	0	0	0	0	0
K00350	0	0	0	0	0	0	0	0	0	0	1	17	0	0	0	61	0	4	0	0	0	0	0	0
K00351	0	1	0	0	0	0	0	0	1	3	2	1	0	0	0	94	2	11	0	0	0	0	0	0
K00355	195	139	96	75	45	51	70	87	29	420	119	272	90	26	39	418	319	120	248	111	69	63	282	112
K00359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0
K00360	55	110	12	81	8	16	76	34	2	1	72	8	0	0	3	174	179	274	233	4	0	78	277	228
K00362	1233	1090	684	952	511	542	1508	1118	257	883	3650	6061	561	444	308	5312	6118	4599	2469	748	654	1051	4596	2216
K00363	228	268	177	274	113	265	185	236	99	312	748	1033	194	153	128	1124	1150	730	428	204	301	288	766	447
K00364	45	8	3	7	5	2	5	5	3	9	9	6	3	6	5	26	13	8	2	2	1	2	22	7
K00365	579	567	303	530	300	508	584	506	307	1258	996	1356	574	443	295	3341	2111	1322	951	613	712	456	1775	805
K00366	63	127	72	126	139	138	317	331	306	440	1072	378	16	8	8	2214	180	227	528	473	780	222	360	127
