	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
Infectious disease: viral	9898	10673	8414	8397	5116	11013	7849	8316	8439	13936	15642	15558	5435	3918	4470	40132	24311	15388	10606	9627	10920	8038	20355	10146
Membrane transport	271358	216186	125844	190608	95992	189102	157044	157166	117834	380977	373003	452916	138292	113716	121580	986583	683381	430159	277670	184255	173602	158991	473274	238840
Replication and repair	216208	210928	133661	184510	102430	196089	147063	151560	120262	323346	349805	423233	136401	114870	112640	881613	595760	385211	266163	183564	178229	161524	428466	224577
Immune disease	4321	3766	1851	2990	1758	3534	2501	2217	1561	5978	5011	6687	2310	2020	1500	14966	13510	8069	4356	2396	1805	2888	9106	5063
Development and regeneration	1310	2089	1215	2695	618	2417	1427	1401	1098	2566	1985	1964	1317	560	1163	9766	4176	2886	2989	2444	1820	1288	3705	1944
Unclassified: signaling and cellular processes	95045	91657	68186	85483	38755	88478	68932	74066	52746	132301	147169	171642	63571	43211	49399	411949	251324	156854	113470	87006	73210	64231	185860	95712
Unclassified: genetic information processing	216774	317485	404062	253222	125272	313859	300430	386635	181717	213167	281195	337263	166800	120070	123923	651537	409812	277647	468321	519896	372843	215010	566518	331526
Transcription	34415	34848	27350	31276	20351	35200	24508	26500	25114	51274	56773	60979	23214	19572	19069	128903	71370	51300	41601	33022	33704	26520	61931	33837
Cellular community - eukaryotes	18	129	255	77	116	201	74	113	325	165	167	28	0	1	0	451	0	89	62	165	237	102	83	54
Signaling molecules and interaction	902	572	223	629	86	349	520	372	258	693	940	653	383	171	135	4310	3289	1960	492	362	376	476	1795	900
