	11B-T1-3	11B-T1-6	11B-T1-9	8-T1-3	8-T1-6	8-T1-9	Ex45-T1-3	Ex45-T1-6	Ex45-T1-9	HP-T1-3	HP-T1-6	HP-T1-9	RC-T1-3	RC-T1-6	RC-T1-9	RP-T1-3	RP-T1-6	RP-T1-9	SC-T1-3	SC-T1-6	SC-T1-9	UAB-T1-3	UAB-T1-6	UAB-T1-9
Metabolism	1993902	1907435	1206564	1664523	905147	1736031	1434954	1463583	1109865	2888896	3054438	3721981	1327726	1103026	1076015	8220632	5369417	3460140	2646776	1706653	1711962	1473909	4075642	2086156
Environmental Information Processing	559170	477649	287378	423014	211875	423676	351756	343977	261629	726096	780627	896427	319361	249521	281933	1919572	1377025	858506	582578	398030	370626	345382	1040725	519684
Organismal Systems	218715	213363	142498	184796	108277	201405	146668	151540	120461	267889	324647	350080	156772	127251	129237	688514	500562	323460	261924	175945	163405	154072	407430	211946
Human Diseases	242777	223310	144472	198539	107915	214491	159229	163966	130763	321128	387148	421675	159354	125559	130065	925407	588480	374888	271524	191883	184193	163419	459645	235083
Brite Hierarchies	2805754	2663899	1667257	2392093	1253835	2553667	1938680	1978566	1541263	4111632	4548574	5268990	1845829	1481260	1564588	11745143	7418183	4726620	3493966	2379281	2255269	1998946	5550089	2866547
Cellular Processes	460527	427841	266641	381536	193153	391185	305999	308253	219219	597998	680983	790200	286444	230023	242754	1596045	1135365	699376	539156	355635	320230	307992	919307	457739
Not Included in Pathway or Brite	901277	972861	835962	823177	411566	912912	806814	907988	573086	1226536	1352803	1649332	617398	469567	483664	3728590	2390480	1532194	1371264	1139684	987691	719425	2001454	1066409
Genetic Information Processing	722411	718102	479085	620608	360786	684193	491005	512036	436985	1003155	1117162	1293490	461282	391503	383438	2641040	1740846	1137359	850436	611671	599620	529906	1379553	729431
