Contig	11B-T1-3 Read Count	11B-T1-6 Read Count	11B-T1-9 Read Count	8-T1-3 Read Count	8-T1-6 Read Count	8-T1-9 Read Count	Ex45-T1-3 Read Count	Ex45-T1-6 Read Count	Ex45-T1-9 Read Count	HP-T1-3 Read Count	HP-T1-6 Read Count	HP-T1-9 Read Count	RC-T1-3 Read Count	RC-T1-6 Read Count	RC-T1-9 Read Count	RP-T1-3 Read Count	RP-T1-6 Read Count	RP-T1-9 Read Count	SC-T1-3 Read Count	SC-T1-6 Read Count	SC-T1-9 Read Count	UAB-T1-3 Read Count	UAB-T1-6 Read Count	UAB-T1-9 Read Count
UAB-T1-9_k127_419732	830	1342	521	328	67	114	281	314	10	39	13	14	41	54	31	28	19	18	145	63	38	1296	1428	1445
UAB-T1-9_k127_120282	557	1051	328	216	28	86	222	249	52	26	27	38	22	24	13	29	50	32	94	80	65	1018	1019	1035
11B-T1-3_k127_285612	829	104	46	72	30	71	59	40	72	60	73	59	22	29	43	149	182	120	72	47	35	41	139	76
11B-T1-3_k127_968458	3213	2273	302	1098	140	282	188	114	44	107	61	76	31	35	48	96	109	56	78	43	45	469	672	517
11B-T1-3_k127_390147	776	60	20	31	8	31	24	12	36	53	32	39	9	11	10	59	99	31	44	18	28	20	80	43
11B-T1-3_k127_948439	725	493	71	231	25	45	61	46	5	2	10	21	7	12	5	8	35	14	21	12	2	143	194	158
11B-T1-6_k127_904072	0	782	2	1	0	21	14	8	21	0	0	0	0	0	0	0	0	10	5	24	0	5	17	10
11B-T1-6_k127_1177313	0	757	6	4	9	36	2	11	17	3	2	0	0	0	0	3	0	2	7	13	8	4	18	8
11B-T1-6_k127_510359	0	634	1	5	0	0	3	5	2	2	0	0	0	0	0	2	0	1	0	0	0	0	3	2
11B-T1-6_k127_1110738	34	902	19	44	22	38	7	15	11	1	1	0	24	236	7	0	1	1	3	4	0	13	61	17
11B-T1-6_k127_938349	4	1021	43	19	93	288	21	72	36	3	2	1	0	3	0	9	1	0	29	152	60	15	65	34
11B-T1-6_k127_1036172	2	727	2	2	8	16	1	6	3	1	0	1	0	0	0	1	4	0	0	2	3	1	3	1
11B-T1-6_k127_520005	0	907	13	10	29	83	6	41	17	4	2	0	0	7	0	1	0	0	6	18	5	6	15	13
11B-T1-6_k127_97140	602	537	68	211	18	53	37	36	2	8	5	17	12	8	3	16	24	17	14	16	15	128	154	130
11B-T1-6_k127_660863	1787	1221	158	679	67	199	100	78	45	54	90	117	14	13	10	109	183	103	85	39	41	247	451	329
11B-T1-6_k127_436078	0	707	9	3	5	25	2	8	3	0	0	0	0	0	0	0	0	0	1	2	1	4	6	4
8-T1-6_k127_283000	5	23	131	33	1897	841	2	7	1	4	1	2	185	57	2	0	0	2	23	10	10	6	4	8
8-T1-6_k127_158990	10	21	103	28	1383	601	8	15	7	3	5	3	100	49	20	7	21	3	37	10	6	10	24	11
8-T1-6_k127_162707	9	29	277	46	2036	860	35	62	17	10	13	5	560	415	191	13	11	13	217	65	89	22	44	33
8-T1-6_k127_99016	5	12	122	18	1368	659	3	11	1	11	7	4	129	58	15	1	4	7	37	7	9	8	7	12
8-T1-6_k127_156082	9	22	115	54	2104	936	3	3	5	9	5	8	160	57	4	14	18	14	6	4	2	5	14	6
8-T1-6_k127_337061	60	118	278	134	2765	1243	61	75	71	92	67	49	272	177	49	126	67	78	167	63	73	70	130	67
8-T1-6_k127_139988	4	13	84	23	1161	536	4	9	2	1	4	0	197	113	47	0	0	0	61	12	4	11	7	8
8-T1-6_k127_226792	5	9	127	31	1699	795	5	5	5	7	3	5	130	54	2	12	1	2	24	8	8	10	13	5
8-T1-6_k127_95242	6	14	120	31	1042	515	6	16	7	10	4	2	151	58	25	7	4	2	64	15	12	21	17	14
8-T1-6_k127_292798	58	139	263	102	2764	1192	56	61	50	42	53	52	271	132	69	112	100	67	164	78	59	62	172	114
8-T1-6_k127_242958	20	91	236	86	1302	685	76	110	81	13	28	11	72	35	34	8	3	5	351	215	182	106	100	70
8-T1-6_k127_252547	90	191	265	141	1448	692	64	93	17	12	9	13	231	131	44	18	39	18	242	73	42	113	208	128
8-T1-6_k127_217740	153	176	333	181	4659	1922	55	60	94	103	125	100	230	99	66	99	156	88	141	60	42	80	229	125
8-T1-6_k127_294475	14	29	86	33	1079	459	20	11	34	5	7	15	130	42	14	18	9	0	21	10	4	7	23	15
8-T1-6_k127_232813	554	774	542	538	2123	1378	367	365	369	506	500	492	437	295	259	835	828	566	560	489	391	377	946	526
8-T1-6_k127_339026	116	140	251	128	1913	854	107	153	38	73	80	87	234	139	59	118	210	152	566	119	110	129	233	129
8-T1-6_k127_338439	70	75	109	68	1152	574	41	27	21	36	53	100	104	70	19	68	138	98	81	21	23	30	141	56
8-T1-9_k127_384206	17	51	117	54	1439	698	17	17	18	22	16	41	129	56	26	46	60	29	82	13	19	25	58	28
HP-T1-3_k127_908076	12	12	8	13	3	8	4	4	6	2404	23	12	4	1	7	22	32	10	2	4	3	9	30	16
HP-T1-3_k127_612488	4	4	5	29	27	33	84	45	26	3636	20	0	0	0	1	1	0	3	40	21	14	23	62	33
HP-T1-3_k127_661173	27	43	28	32	21	36	13	28	39	6140	126	70	19	22	26	84	19	16	35	33	30	15	57	30
HP-T1-3_k127_237953	44	66	70	63	31	79	67	55	50	683	45	53	19	28	25	127	68	64	128	54	56	64	102	70
HP-T1-3_k127_254926	101	84	49	68	27	60	38	30	25	2163	227	194	22	38	18	236	187	96	79	35	22	37	156	107
HP-T1-3_k127_118729	60	72	41	45	19	41	41	33	33	1920	49	72	30	20	24	66	140	67	51	41	26	35	89	39
